1	4	0.333333
1	2	0.333333
1	3	0.333333
2	4	0.142857
2	1	0.142857
2	6	0.142857
2	7	0.142857
2	9	0.142857
2	12	0.142857
2	3	0.142857
3	1	0.5
3	2	0.5
4	1 	0.066667
4	2 	0.066667
4	3 	0.066667
4	4 	0.066667
4	5	0.066667
4	6 	0.066667
4	7 	0.066667
4	8 	0.066667
4	9 	0.066667
4	10 	0.066667
4	11 	0.066667
4	12 	0.066667
4	13 	0.066667
4	14 	0.066667
4	15 	0.066667
5	6	0.333333
5	2	0.333333
5	3	0.333333
6	5	0.25
6	2	0.25
6	12	0.25
6	3	0.25
7	3	1
8	3	1
9	3	1
10	2	1
11	2	1
12	2	1
13	4	1
14	4	1
15	4	0.5
15	6	0.5
15	15	0
